date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:40:48	11091/-1	---M--	200	added ('OK')	application/json	date:Mon,%2011%20Jul%202022%2016:40:48%20GMT	https://infobloom.site/wp-json/wp/v2/posts/1176	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/Info/https___infobloom.site_/infobloom.site/wp-json/wp/v2/posts/1176.json	(from https://infobloom.site/what-are-the-most-common-frauds-suffered-by-companies/)
19:40:49	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2011%20Jul%202022%2016:40:49%20GMT	https://infobloom.site/?p=1176	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/Info/https___infobloom.site_/infobloom.site/index3195.html	(from https://infobloom.site/what-are-the-most-common-frauds-suffered-by-companies/)
19:40:49	2607/-1	---M--	200	added ('OK')	application/json	date:Mon,%2011%20Jul%202022%2016:40:49%20GMT	https://infobloom.site/wp-json/oembed/1.0/embed?url=https%3A%2F%2Finfobloom.site%2Fwhat-are-the-most-common-frauds-suffered-by-companies%2F	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/Info/https___infobloom.site_/infobloom.site/wp-json/oembed/1.0/embed93fc.json	(from https://infobloom.site/what-are-the-most-common-frauds-suffered-by-companies/)
19:40:50	2737/-1	---M--	200	added ('OK')	text/xml	date:Mon,%2011%20Jul%202022%2016:40:50%20GMT	https://infobloom.site/wp-json/oembed/1.0/embed?url=https%3A%2F%2Finfobloom.site%2Fwhat-are-the-most-common-frauds-suffered-by-companies%2F&format=xml	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/Info/https___infobloom.site_/infobloom.site/wp-json/oembed/1.0/embed6153	(from https://infobloom.site/what-are-the-most-common-frauds-suffered-by-companies/)
19:40:51	12030/12030	---M--	200	added ('OK')	image/png	etag:%22628f321b-2efe%22	https://infobloom.site/wp-content/uploads/2022/05/auditoria-e1487939357744.png	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/Info/https___infobloom.site_/infobloom.site/wp-content/uploads/2022/05/auditoria-e1487939357744.png	(from https://infobloom.site/what-are-the-most-common-frauds-suffered-by-companies/)
19:40:52	7585/-1	---M--	200	added ('OK')	application/json	date:Mon,%2011%20Jul%202022%2016:40:51%20GMT	https://infobloom.site/wp-json/wp/v2/posts/1164	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/Info/https___infobloom.site_/infobloom.site/wp-json/wp/v2/posts/1164.json	(from https://infobloom.site/from-picasso-frida-kahlo-nfts-to-a-coin-the-best-of-2021-auctions/)
19:40:53	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2011%20Jul%202022%2016:40:52%20GMT	https://infobloom.site/?p=1164	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/Info/https___infobloom.site_/infobloom.site/indexa873.html	(from https://infobloom.site/from-picasso-frida-kahlo-nfts-to-a-coin-the-best-of-2021-auctions/)
19:40:54	2661/-1	---M--	200	added ('OK')	application/json	date:Mon,%2011%20Jul%202022%2016:40:53%20GMT	https://infobloom.site/wp-json/oembed/1.0/embed?url=https%3A%2F%2Finfobloom.site%2Ffrom-picasso-frida-kahlo-nfts-to-a-coin-the-best-of-2021-auctions%2F	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/Info/https___infobloom.site_/infobloom.site/wp-json/oembed/1.0/embed1bb0.json	(from https://infobloom.site/from-picasso-frida-kahlo-nfts-to-a-coin-the-best-of-2021-auctions/)
19:40:55	2791/-1	---M--	200	added ('OK')	text/xml	date:Mon,%2011%20Jul%202022%2016:40:54%20GMT	https://infobloom.site/wp-json/oembed/1.0/embed?url=https%3A%2F%2Finfobloom.site%2Ffrom-picasso-frida-kahlo-nfts-to-a-coin-the-best-of-2021-auctions%2F&format=xml	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/Info/https___infobloom.site_/infobloom.site/wp-json/oembed/1.0/embeddb7d	(from https://infobloom.site/from-picasso-frida-kahlo-nfts-to-a-coin-the-best-of-2021-auctions/)
19:40:57	67213/67213	---M--	200	added ('OK')	image/jpeg	etag:%22628f20ae-1068d%22	https://infobloom.site/wp-content/uploads/2022/05/1653547182_424_From-Picasso-Frida-Kahlo-NFTs-to-a-coin-the-best.jpg	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/Info/https___infobloom.site_/infobloom.site/wp-content/uploads/2022/05/1653547182_424_From-Picasso-Frida-Kahlo-NFTs-to-a-coin-the-best.jpg	(from https://infobloom.site/from-picasso-frida-kahlo-nfts-to-a-coin-the-best-of-2021-auctions/)
